state,fda,similarity_scores,scale,predicted,confidence_level
Lab Name,['Accomplishing Org Name'],[0.412],[3],Accomplishing Org Name,3
Lab State,['Accomplishing Org Name'],[0.262],[2],Accomplishing Org Name,2
FDA Problem Area Flag,['Problem Area Flag'],[0.951],[5],Problem Area Flag,5
LFFM Track,"['Regulatory Program Name', 'Sample number', 'Lab Sample number']","[0.617, 0.531, 0.474]","[4, 3, 3]",Regulatory Program Name,4
Sample Number (External),"['Sample number', 'Lab Sample number', 'Regulatory Program Name']","[0.78, 0.733, 0.59]","[4, 4, 3]",Sample number,4
Sample Number ,"['Lab Sample number', 'Sample number', 'Regulatory Program Name']","[0.804, 0.682, 0.399]","[5, 4, 2]",Lab Sample number,5
Brand,"['Brand Name', 'Expiry Date', 'Sample Description', 'Lot Size']","[0.731, 0.42, 0.42, 0.352]","[4, 3, 3, 2]",Brand Name,4
Commodity Category (Assigned),['Product Code'],[0.335],[2],Product Code,2
Expiration Date,"['Expiry Date', 'Brand Name', 'Sample Description', 'Lot Size']","[0.783, 0.438, 0.278, 0.26]","[4, 3, 2, 2]",Expiry Date,4
Product Code,['Product Code'],[0.699],[4],Product Code,4
Product Lot,"['Lot Size', 'Brand Name', 'Sample Description', 'Expiry Date']","[0.462, 0.445, 0.371, 0.35]","[3, 3, 2, 2]",Lot Size,3
Product Description,"['Brand Name', 'Sample Description', 'Lot Size', 'Expiry Date']","[0.599, 0.534, 0.414, 0.407]","[3, 3, 3, 3]",Brand Name,3
Collecting Entity,"['Sample Collector ID on Package', 'Sample Collection Remarks', 'Sample Collector ID on Seal']","[0.522, 0.505, 0.504]","[3, 3, 3]",Sample Collector ID on Package,3
Collection Date,['sample Collection date'],[0.796],[4],sample Collection date,4
Collection Remarks,"['Sample Collection Remarks', 'Sample Collector ID on Seal', 'Sample Collector ID on Package']","[0.667, 0.503, 0.489]","[4, 3, 3]",Sample Collection Remarks,4
Country of Origin,"['Country Code', 'City', 'State', 'Legal Name', 'Address Line 1', 'Address Line 2', 'Zip Code', 'Responsible Firm Type', 'Responsible Firm Type ', 'Firm Information Identifier']","[0.618, 0.481, 0.432, 0.401, 0.39, 0.367, 0.362, 0.359, 0.357, 0.182]","[4, 3, 3, 3, 2, 2, 2, 2, 2, 1]",Country Code,4
Manufacturer,"['Responsible Firm Type', 'Responsible Firm Type ', 'Legal Name', 'State', 'Address Line 2', 'Country Code', 'Address Line 1', 'Zip Code', 'City', 'Firm Information Identifier']","[0.64, 0.623, 0.607, 0.578, 0.53, 0.494, 0.45, 0.442, 0.442, 0.432]","[4, 4, 4, 3, 3, 3, 3, 3, 3, 3]",Responsible Firm Type,4
Collection Firm ID,"['Responsible Firm Type ', 'Responsible Firm Type', 'Firm Information Identifier', 'Legal Name', 'State', 'Address Line 2', 'Zip Code', 'City', 'Address Line 1', 'Country Code']","[0.594, 0.592, 0.552, 0.479, 0.468, 0.445, 0.439, 0.439, 0.41, 0.392]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 2]",Responsible Firm Type ,3
Collection Firm Name,"['Legal Name', 'Responsible Firm Type ', 'Responsible Firm Type', 'Address Line 2', 'Firm Information Identifier', 'Address Line 1', 'City', 'State', 'Zip Code', 'Country Code']","[0.646, 0.619, 0.614, 0.491, 0.479, 0.461, 0.458, 0.45, 0.427, 0.396]","[4, 4, 4, 3, 3, 3, 3, 3, 3, 2]",Legal Name,4
